species_group,n_total,k_total,p_i,r_i,Ei,OAR,se_log_oar,OAR_lo,OAR_hi,preference,uncertainty_group,species_label,n_label
Siderastrea radians,447,1,0.009231341125934493,6.657789613848203e-4,-0.8654600620158486,0.07212158583484511,1.0011179433340132,0.010136697127126499,0.5131378671079456,Avoidance,Very wide CI,Siderastrea radians,n=447; k=1
Agaricia spp.,507,2,0.010470447317335096,0.0013315579227696406,-0.7743505623527712,0.12717297383895765,0.7085000963922102,0.031718115025740325,0.5098967975215203,Avoidance,Very wide CI,Agaricia spp.,n=507; k=2
Millepora alcicornis,1367,7,0.02823096939407707,0.004660452729693742,-0.7166159181469014,0.16508298615744724,0.3789309590842826,0.07855064799048002,0.3469403883461634,Avoidance,Wide CI,Millepora alcicornis,"n=1,367; k=7"
Agaricia humilis,1179,10,0.02434843666102185,0.006657789613848202,-0.570551439905848,0.27343807352142296,0.31756601899557124,0.14673757345146216,0.5095380705326913,Avoidance,Wide CI,Agaricia humilis,"n=1,179; k=10"
Branching Porites spp.,4824,53,0.09962413778860849,0.035286284953395475,-0.4768931230632162,0.3541941314289626,0.13811307460696753,0.2701948946009087,0.4643073768067243,Avoidance,Moderate/narrow CI,Branching Porites spp.,"n=4,824; k=53"
Madracis decactis,819,11,0.016913799512618233,0.007323568575233023,-0.3956795516173317,0.4329936966421653,0.3035293925307599,0.23884279192433014,0.7849662944454515,Avoidance,Wide CI,Madracis decactis,n=819; k=11
Agaricia lamarcki,1983,30,0.04095245962578993,0.019973368841544607,-0.3443382111002937,0.4877208603354881,0.18395004693673833,0.3400868896276198,0.6994437153012505,Avoidance,Moderate/narrow CI,Agaricia lamarcki,"n=1,983; k=30"
Colpophyllia natans,198,3,0.00408905043162199,0.0019973368841544607,-0.34367079171015363,0.4884598313359964,0.5817076915288626,0.15619577121001016,1.527525393168258,Avoidance,Very wide CI,Colpophyllia natans,n=198; k=3
Agaricia agaricites,3640,67,0.07517244227830325,0.04460719041278296,-0.2551790415349546,0.5933981797164222,0.12328867916014687,0.4660159351533919,0.7555994830409831,Avoidance,Moderate/narrow CI,Agaricia agaricites,"n=3,640; k=67"
Diploria labyrinthiformis,153,3,0.0031597207880715377,0.0019973368841544607,-0.22539672382902481,0.6321244876112896,0.5829830881301374,0.20163104070251336,1.9817453029336796,Avoidance,Very wide CI,Diploria labyrinthiformis,n=153; k=3
Orbicella franksi,7263,152,0.149993804469043,0.10119840213049268,-0.19425523983848203,0.6746838810357588,0.08195505793405977,0.5745644889137108,0.7922493438292468,Avoidance,Moderate/narrow CI,Orbicella franksi,"n=7,263; k=152"
Porites astreoides,11927,268,0.2463136590805832,0.17842876165113183,-0.15982603600672673,0.724396536989277,0.061767197314976124,0.6417990437584479,0.8176240645811179,Avoidance,Moderate/narrow CI,Porites astreoides,"n=11,927; k=268"
Agaricia grahamae,406,11,0.008384618561810747,0.007323568575233023,-0.06754757740793065,0.8734528018471267,0.30556856038585356,0.47988174855944393,1.5898079044364646,Avoidance,Wide CI,Agaricia grahamae,n=406; k=11
Dichocoenia stokesii,35,1,7.228119449836851e-4,6.657789613848203e-4,-0.04107256020278832,0.921095681947879,1.01418510567422,0.12618651786870366,6.723517453630042,Avoidance,Very wide CI,Dichocoenia stokesii,n=35; k=1
Orbicella faveolata,1397,47,0.028850522489777375,0.031291611185086554,0.04058866132861227,1.0846115939901655,0.1482983997153653,0.8110359333175773,1.4504687911987393,Preference,Moderate/narrow CI,Orbicella faveolata,"n=1,397; k=47"
Montastraea cavernosa,1580,54,0.032629796373549215,0.03595206391478029,0.04844236547774753,1.1018169866338552,0.13838869141271473,0.8400606292549799,1.4451345888112423,Preference,Moderate/narrow CI,Montastraea cavernosa,"n=1,580; k=54"
Pseudodiploria strigosa,414,19,0.00854983272066416,0.012649800266311585,0.19339804364378804,1.479537749988743,0.23462105166537484,0.934141313112355,2.343362747064869,Preference,Moderate/narrow CI,Pseudodiploria strigosa,n=414; k=19
Mycetophyllia ferox,18,1,3.717318574201809e-4,6.657789613848203e-4,0.28341593999310877,1.7910193815653206,1.0274023338281628,0.23908799147518212,13.416610367382653,Preference,Very wide CI,Mycetophyllia ferox,n=18; k=1
Stephanocoenia intercepta,1251,76,0.025835364090702573,0.05059920106524634,0.3239874122920472,1.958524791352005,0.11814082803346534,1.5536942922118593,2.4688379030341245,Preference,Moderate/narrow CI,Stephanocoenia intercepta,"n=1,251; k=76"
Siderastrea siderea,6015,378,0.12422039568791045,0.25166444740346205,0.339050786585113,2.0259511009427165,0.05302597179280771,1.8259645446919135,2.2478409426638315,Preference,Moderate/narrow CI,Siderastrea siderea,"n=6,015; k=378"
Agaricia tenuifolia,13,1,2.684730081367973e-4,6.657789613848203e-4,0.42526638017307355,2.4798729898596745,1.0377490433255416,0.32439908419478247,18.957421107092237,Preference,Very wide CI,Agaricia tenuifolia,n=13; k=1
Pseudodiploria clivosa,37,3,7.641154846970386e-4,0.0019973368841544607,0.44658434574785894,2.6139201785007375,0.6003002251876642,0.8059469457421714,8.477702826060614,Preference,Very wide CI,Pseudodiploria clivosa,n=37; k=3
Orbicella annularis,2949,304,0.060902069307339636,0.20239680426098536,0.5373921013639598,3.323315719201571,0.06023762680860137,2.9532233847230143,3.739787320737379,Preference,Moderate/narrow CI,Orbicella annularis,"n=2,949; k=304"
