"species","OR","OR_lo","OR_hi","p.value","p_fdr"
"Agaricia tenuifolia",6.59160307482379,0.357633074363464,34.6496740182036,0.0732460930398718,0.1525960271664
"Siderastrea siderea",5.93855705926648,4.44072248537825,8.12099236450336,4.43912006815623e-31,1.10978001703906e-29
"Stephanocoenia intercepta",5.76895635567859,4.01620888632947,8.36210349945343,5.93424076909079e-21,4.94520064090899e-20
"Pseudodiploria clivosa",5.65325482739142,1.32720630196592,16.4980246110526,0.00527872642050695,0.0146631289458526
"Orbicella annularis",4.69673650790334,3.44212226806947,6.53222115630421,2.43153465313238e-21,3.03941831641548e-20
"Mycetophyllia ferox",4.23422749370339,0.232056631395261,21.4326396542,0.165997923450128,0.276663205750213
"Pseudodiploria strigosa",3.80244890854515,2.1628739296594,6.42405804769484,1.31400102721942e-06,5.47500428008091e-06
"Dichocoenia stokesii",2.77499629419217,0.154563822576303,13.2832972094357,0.319315060905503,0.420151395928294
"Montastraea cavernosa",2.67531183316082,1.80767787327932,3.96886286206254,8.67380534831514e-07,4.43094650102618e-06
"Porites astreoides",2.16307622555734,1.60600600441338,2.97540980029855,8.86189300205235e-07,4.43094650102618e-06
"Agaricia grahamae",2.11829095607575,1.03702519480276,3.95951243067906,0.0265660763342132,0.0664151908355329
"Orbicella species complex",1.75179712608827,1.18691506569545,2.5934813020587,0.00480587590979198,0.0146631289458526
"Agaricia agaricites",1.71676626124339,1.18643871120195,2.5015301265148,0.00440147451053839,0.0146631289458526
"Diploria labyrinthiformis",1.56190144784597,0.37660900934205,4.32015744318594,0.458057613806335,0.572572017257919
"Orbicella faveolata",1.31900075895918,0.846637395780976,2.04202443005603,0.216355822949428,0.318170327866805
"Orbicella franksi",1.27102820055541,0.922879746676539,1.78059578869809,0.15166016501529,0.271540429121272
"Madracis decactis",1.23200138772658,0.605491985679579,2.29108955215482,0.534771664696837,0.636632934162901
"Agaricia humilis",0.853970711425067,0.406465124021133,1.62011712053344,0.650961613926622,0.707566971659372
"Colpophyllia natans",0.8475491147459,0.20444170972097,2.34216940974682,0.78300833021384,0.78300833021384
"Branching Porites spp.",0.789107127082988,0.191146386955155,2.1628828980777,0.691795034831339,0.720619827949312
"Agaricia lamarcki",0.773731114305945,0.480690851355695,1.22521042230551,0.280563934397005,0.389672131106952
"Porites furcata",0.557598372738489,0.0313920732191681,2.56988565064838,0.564421883117202,0.641388503542275
"Millepora alcicornis",0.414496752479839,0.170642236518335,0.85993218283688,0.0301985446619276,0.0686330560498354
"Agaricia spp.",0.389613106674096,0.0635539573022802,1.26086431408028,0.192395253567694,0.300617583699522
"Siderastrea radians",0.234949082128434,0.0132533925615893,1.07544081976847,0.152062640307913,0.271540429121272
