"","Location","prev","freq","total","highlight"
"1","Black Point",0.0349650349650356,155,4433,"Chosen Locations"
"2","Botany Bay",0.0463821892393325,75,1617,"Chosen Locations"
"3","Brewers Bay",0.0700792199878122,115,1641,"Chosen Locations"
"4","Buck Island STT",0.0128205128205129,24,1872,"Unchosen"
"5","Buck Island STX",0.0178784266984506,15,839,"Unchosen"
"6","Buck Island STX Deep",0.0224719101123595,14,623,"Unchosen"
"7","Cane Bay",0.0674460431654676,75,1112,"Unchosen"
"8","Cane Bay Deep",0.0274442538593482,16,583,"Unchosen"
"9","Castle",0.0666666666666667,83,1245,"Unchosen"
"10","Coculus Rock",0.0453338778844187,222,4897,"Chosen Locations"
"11","College Shoal East",0.0262762762762762,35,1332,"Unchosen"
"12","Coral Bay",0.0239456754824877,67,2798,"Unchosen"
"13","Eagle Ray",0.064113980409617,72,1123,"Unchosen"
"14","Fish Bay",0.0261904761904762,11,420,"Unchosen"
"15","Flat Cay",0.023074524477705,74,3207,"Unchosen"
"16","Grammanik Tiger FSA",0.0088781275221953,11,1239,"Unchosen"
"17","Great Pond",0.0181818181818182,19,1045,"Unchosen"
"18","Hind Bank East FSA",0.0183887915936952,21,1142,"Unchosen"
"19","Jacks Bay",0.0208333333333333,16,768,"Unchosen"
"20","Kings Corner",0.066518847006652,90,1353,"Unchosen"
"21","Lang Bank EEMP",0.0092050209205021,11,1195,"Unchosen"
"22","Lang Bank Red Hind FSA",0.0146771037181996,15,1022,"Unchosen"
"23","Magens Bay",0.0617198335644936,89,1442,"Chosen Locations"
"24","Meri Shoal",0.00490883590462834,7,1426,"Unchosen"
"25","Mutton Snapper FSA",0.0273752012882448,17,621,"Unchosen"
"26","Salt River Deep",0.00431034482758622,3,696,"Unchosen"
"27","Salt River West",0.0833333333333332,97,1164,"Unchosen"
"28","Savana",0.0624380574826566,63,1009,"Chosen Locations"
"29","Seahorse Cottage Shoal",0.0155477031802122,44,2830,"Unchosen"
"30","South Capella",0.00804828973843054,8,994,"Unchosen"
"31","South Water",0.0149750415973378,9,601,"Unchosen"
"32","Sprat Hole",0.0686695278969959,80,1165,"Unchosen"
"33","St James",0.0135790494665373,14,1031,"Unchosen"
